coverage,risk,accuracy,abstain_threshold
0.171,0.5994152046783626,0.4005847953216374,0.38928646782500326
0.1715,0.6005830903790087,0.3994169096209913,0.389333494431336
0.172,0.5988372093023255,0.40116279069767447,0.38946767896597834
0.1725,0.6,0.4,0.38983854651284783
0.173,0.6011560693641619,0.3988439306358381,0.3900024775506974
0.1735,0.5994236311239193,0.4005763688760807,0.3901581230214496
0.174,0.5977011494252874,0.4022988505747126,0.3905601999829507
0.1745,0.5988538681948424,0.40114613180515757,0.3906213582687812
0.175,0.6,0.4,0.39078754824458156
0.1755,0.5982905982905983,0.4017094017094017,0.39081190977355856
0.176,0.5965909090909091,0.40340909090909094,0.3911885901097898
0.1765,0.5949008498583569,0.4050991501416431,0.391338761992693
0.177,0.5932203389830508,0.4067796610169492,0.3914885940859624
0.1775,0.5915492957746479,0.4084507042253521,0.3916469126562236
0.178,0.5926966292134831,0.4073033707865169,0.39193039299811955
0.1785,0.5938375350140056,0.4061624649859944,0.3924282619855787
0.179,0.5921787709497207,0.4078212290502793,0.3931990475740707
0.1795,0.5905292479108635,0.4094707520891365,0.3934487453289024
0.18,0.5916666666666667,0.4083333333333333,0.3937092954308067
0.1805,0.592797783933518,0.407202216066482,0.39392433005958405
0.181,0.5911602209944752,0.4088397790055248,0.393997829972284
0.1815,0.5895316804407713,0.4104683195592287,0.394088111993982
0.182,0.5879120879120879,0.41208791208791207,0.39415911910313456
0.1825,0.589041095890411,0.410958904109589,0.3946017386631436
0.183,0.5901639344262295,0.4098360655737705,0.3946680131458339
0.1835,0.5912806539509536,0.40871934604904636,0.3948061102526929
0.184,0.5896739130434783,0.41032608695652173,0.39498249894301224
0.1845,0.5880758807588076,0.41192411924119243,0.39562236363082626
0.185,0.5891891891891892,0.41081081081081083,0.3957277873034385
0.1855,0.5902964959568733,0.4097035040431267,0.39577098263334226
0.186,0.5887096774193549,0.41129032258064513,0.3958075075351912
0.1865,0.5871313672922251,0.41286863270777485,0.39588714406214776
0.187,0.5882352941176471,0.4117647058823529,0.3963014882474986
0.1875,0.5893333333333334,0.4106666666666666,0.396370235970926
0.188,0.5877659574468085,0.4122340425531915,0.39660737968370613
0.1885,0.5888594164456233,0.41114058355437666,0.3966238124459276
0.189,0.58994708994709,0.41005291005291,0.39665748587469063
0.1895,0.5910290237467019,0.40897097625329815,0.3967556416302771
0.19,0.5894736842105263,0.41052631578947374,0.39676894395269985
0.1905,0.5879265091863517,0.4120734908136483,0.39688149739485395
0.191,0.5890052356020943,0.4109947643979057,0.39688386782933094
0.1915,0.587467362924282,0.41253263707571797,0.3972477377421823
0.192,0.5885416666666666,0.41145833333333337,0.39758436646964074
0.1925,0.5896103896103896,0.4103896103896104,0.39760646530455784
0.193,0.5880829015544041,0.4119170984455959,0.3978160228146834
0.1935,0.5891472868217055,0.4108527131782945,0.3981928485377295
0.194,0.5876288659793815,0.41237113402061853,0.39872187243328183
0.1945,0.5886889460154242,0.4113110539845758,0.3989947254909785
0.195,0.5897435897435898,0.41025641025641024,0.39913818901442
0.1955,0.5907928388746803,0.40920716112531974,0.3992857901920059
0.196,0.5892857142857143,0.4107142857142857,0.3996872619904319
0.1965,0.5877862595419847,0.4122137404580153,0.39973328055900065
0.197,0.5888324873096447,0.41116751269035534,0.3997947411843436
0.1975,0.589873417721519,0.410126582278481,0.3999496404908348
0.198,0.5883838383838383,0.41161616161616166,0.4000753368817417
0.1985,0.5869017632241813,0.4130982367758187,0.4003686528160624
0.199,0.5879396984924623,0.4120603015075377,0.4003990305893794
0.1995,0.5864661654135338,0.4135338345864662,0.4004907164134666
0.2,0.5875,0.4125,0.4008246148981033
0.2005,0.5860349127182045,0.4139650872817955,0.4012684433754012
0.201,0.5845771144278606,0.41542288557213936,0.4018195147036172
0.2015,0.5856079404466501,0.4143920595533499,0.4018744465476763
0.202,0.5841584158415841,0.4158415841584159,0.4022535192441739
0.2025,0.582716049382716,0.41728395061728396,0.4026115076323925
0.203,0.5812807881773399,0.41871921182266014,0.40282875874414426
0.2035,0.5823095823095823,0.4176904176904177,0.4029207795767231
0.204,0.5808823529411765,0.4191176470588235,0.40293134410739817
0.2045,0.5794621026894865,0.4205378973105135,0.40299732059806176
0.205,0.5804878048780487,0.41951219512195126,0.403431341119688
0.2055,0.5790754257907542,0.4209245742092458,0.40359620214566244
0.206,0.5776699029126213,0.4223300970873787,0.40362614699994237
