coverage,accuracy
0.4065,0.4895448954489545
0.407,0.48894348894348894
0.4075,0.48834355828220855
0.408,0.48897058823529416
0.4085,0.4895960832313342
0.409,0.49022004889975546
0.4095,0.4908424908424909
0.41,0.4902439024390244
0.4105,0.49086479902557856
0.411,0.4902676399026764
0.4115,0.4896719319562576
0.412,0.48907766990291257
0.4125,0.4884848484848485
0.413,0.4891041162227603
0.4135,0.4885126964933495
0.414,0.48913043478260865
0.4145,0.48854041013269
0.415,0.4879518072289156
0.4155,0.48856799037304455
0.416,0.4891826923076923
0.4165,0.48859543817527007
0.417,0.48920863309352514
0.4175,0.4898203592814371
0.418,0.49043062200956933
0.4185,0.49103942652329746
0.419,0.4904534606205251
0.4195,0.48986889153754465
0.42,0.4904761904761905
0.4205,0.48989298454221164
0.421,0.4904988123515439
0.4215,0.49110320284697506
0.422,0.490521327014218
0.4225,0.48994082840236686
0.423,0.4905437352245863
0.4235,0.4911452184179457
0.424,0.49056603773584906
0.4245,0.49116607773851595
0.425,0.491764705882353
0.4255,0.4911868390129259
0.426,0.49061032863849763
0.4265,0.4912075029308324
0.427,0.4918032786885246
0.4275,0.4923976608187135
0.428,0.491822429906542
0.4285,0.49124854142357055
0.429,0.49184149184149184
0.4295,0.49243306169965073
0.43,0.49302325581395345
0.4305,0.49245063879210216
0.431,0.4918793503480279
0.4315,0.49130938586326767
0.432,0.49189814814814814
0.4325,0.49132947976878616
0.433,0.4919168591224018
0.4335,0.49250288350634375
0.434,0.49193548387096775
0.4345,0.49252013808975836
0.435,0.49310344827586206
0.4355,0.4925373134328358
0.436,0.4919724770642202
0.4365,0.4925544100801833
0.437,0.4931350114416476
0.4375,0.49257142857142855
0.438,0.49200913242009137
0.4385,0.49258836944127704
0.439,0.49316628701594534
0.4395,0.49260523321956773
0.44,0.49318181818181817
0.4405,0.4926220204313281
0.441,0.4931972789115646
0.4415,0.4937712344280861
0.442,0.49321266968325794
0.4425,0.4937853107344633
0.443,0.49435665914221216
0.4435,0.4937993235625705
0.444,0.49436936936936937
0.4445,0.49493813273340836
0.445,0.4943820224719101
0.4455,0.4949494949494949
0.446,0.49439461883408076
0.4465,0.4949608062709966
0.447,0.49440715883668906
0.4475,0.493854748603352
0.448,0.4933035714285714
0.4485,0.49386845039018956
0.449,0.49443207126948774
0.4495,0.49499443826473855
0.45,0.49444444444444446
0.4505,0.4950055493895672
0.451,0.4955654101995566
0.4515,0.49612403100775193
0.452,0.49557522123893805
0.4525,0.4950276243093923
0.453,0.4944812362030905
0.4535,0.49393605292171994
0.454,0.49339207048458145
0.4545,0.49394939493949397
0.455,0.4945054945054945
0.4555,0.49506037321624585
0.456,0.4956140350877193
0.4565,0.49616648411829134
0.457,0.4967177242888403
0.4575,0.4961748633879781
0.458,0.49563318777292575
0.4585,0.49509269356597596
0.459,0.49455337690631807
0.4595,0.49510337323177367
0.46,0.4956521739130435
0.4605,0.495114006514658
0.461,0.4945770065075922
0.4615,0.49512459371614304
0.462,0.4945887445887446
0.4625,0.494054054054054
0.463,0.4935205183585313
0.4635,0.49298813376483275
0.464,0.49353448275862066
0.4645,0.49407965554359523
0.465,0.4946236559139785
0.4655,0.49516648764769067
0.466,0.4957081545064378
0.4665,0.4951768488745981
0.467,0.4946466809421841
0.4675,0.4951871657754011
0.468,0.49572649572649574
0.4685,0.49519743863393806
0.469,0.49466950959488276
0.4695,0.49414270500532487
0.47,0.4936170212765958
0.4705,0.49309245483528164
0.471,0.49256900212314225
